X,Y,OBJECTID,SEGMENT,POINT,LATDD,LONDD,SEGPTID
-13459438.47,4671327.5463,107,37905,3,38.6476599,-120.9081799,379053
-13458714.8931,4672262.6144,108,37905,4,38.6542199,-120.9016799,379054
-13438979.4235,4657090.4337,109,37934,1,38.5477048,-120.7243932,379341
-13436736.469,4656899.5488,110,37934,2,38.5463637,-120.7042444,379342
-13435952.9911,4657249.2536,111,37934,3,38.5488206,-120.6972063,379343
-13434844.6496,4657662.3417,112,37934,4,38.5517227,-120.6872499,379344
-13433756.0227,4657565.3635,113,37934,5,38.5510414,-120.6774706,379345
-13453270.7564,4665860.494,114,38131,1,38.6092936,-120.8527744,381311
-13453143.5629,4666864.7163,115,38131,2,38.6163425,-120.8516318,381312
-13453307.7816,4668300.1383,116,38131,3,38.6264169,-120.853107,381313
-13445904.7323,4655810.0296,117,38188,1,38.5387086,-120.7866043,381881
-13445036.4624,4654810.7202,118,38188,2,38.5316866,-120.7788045,381882
-13443788.3816,4654944.3164,119,38188,3,38.5326254,-120.7675928,381883
-13503928.8207,4737607.0473,120,62701,1,39.1111564,-121.3078434,627011
-13502729.7094,4737129.9017,121,62701,2,39.1078305,-121.2970716,627012
-13501645.858,4736901.329,122,62701,3,39.1062372,-121.2873352,627013
-13500808.034,4737286.8916,123,62701,4,39.1089248,-121.2798089,627014
-13500065.1656,4737866.4108,124,62701,5,39.1129642,-121.2731356,627015
-13437914.0703,4623916.7592,125,62710,1,38.3142614,-120.714823,627101
-13437016.5347,4624199.8779,126,62710,2,38.3162569,-120.7067603,627102
-13436269.4805,4624505.8478,127,62710,3,38.3184134,-120.7000494,627103
-13435593.493,4624511.1826,128,62710,4,38.318451,-120.6939769,627104
-13434654.1564,4624825.5335,129,62710,5,38.3206665,-120.6855387,627105
-13504284.1351,4785270.3037,130,62787,1,39.442597,-121.3110352,627871
-13504986.3943,4784524.1233,131,62787,2,39.4374203,-121.3173437,627872
-13506897.9169,4782743.5873,132,62787,3,39.4250661,-121.3345152,627873
-13509060.2537,4780798.7211,133,62787,4,39.4115692,-121.3539398,627874
-13510061.695,4779623.9495,134,62787,5,39.4034153,-121.3629359,627875
-13535746.5264,4813423.7608,135,62815,1,39.6376332,-121.5936666,628151
-13534846.698,4819176.2283,136,62815,2,39.6774166,-121.5855833,628152
-13534891.2148,4819991.041,137,62815,3,39.6830499,-121.5859832,628153
-13495063.3105,4712165.4698,138,62819,1,38.9335995,-121.2282032,628191
-13493727.4541,4711686.444,139,62819,2,38.9302521,-121.216203,628192
-13490618.6116,4709715.312,140,62819,3,38.9164763,-121.1882758,628193
-13494107.8446,4719130.0126,141,62977,1,38.9822494,-121.2196201,629771
-13491566.3199,4717313.3556,142,62977,3,38.9695626,-121.1967892,629773
-13489435.7423,4717192.2265,143,62977,4,38.9687166,-121.1776499,629774
-13492480.342,4718091.9117,144,62977,2,38.975,-121.205,629772
